Abbreviation,Full Name,Cagematch,Alias Abbreviations,Alias Full Names
AJPW,All Japan Pro Wrestling,https://www.cagematch.net/?id=8&nr=6,,
AJW,All Japan Women's Pro-Wrestling,https://www.cagematch.net/?id=8&nr=295,,
AWA,American Wrestling Association,https://www.cagematch.net/?id=8&nr=41,,
BTW,Big Time Wrestling,https://www.cagematch.net/?id=8&nr=400,NWA Detroit,"National Wrestling Alliance Detroit, Harry Light Wrestling Office"
CWA-Europe,Catch Wrestling Association,https://www.cagematch.net/?id=8&nr=19,,
CWF,Championship Wrestling From Florida,https://www.cagematch.net/?id=8&nr=67,,
EMLL,Consejo Mundial De Lucha Libre,https://www.cagematch.net/?id=8&nr=78,EMLL,Empresa Mexicana De La Lucha Libre
CWA,Continental Wrestling Association,https://www.cagematch.net/?id=8&nr=111,,
FFCP,Federation Francaise de Catch Professionnel,https://www.cagematch.net/?id=8&nr=1864,,
GCW,Georgia Championship Wrestling,https://www.cagematch.net/?id=8&nr=66,,
Houston,Gulf Athletic Club,https://www.cagematch.net/?id=8&nr=1044,GAC,
ICW,International Championship Wrestling,https://www.cagematch.net/?id=8&nr=406,,
IWE,International Wrestling Enterprise,https://www.cagematch.net/?id=8&nr=1153,,
JWA,Japan Wrestling Association,https://www.cagematch.net/?id=8&nr=401,,Japan Pro Wrestling Alliance
JCP,Jim Crockett Promotions,https://www.cagematch.net/?id=8&nr=293,"MACW, ESCW","Mid-Atlantic Championship Wrestling, Eastern States Championship Wrestling"
JP,Joint Promotions,https://www.cagematch.net/?id=8&nr=493,,
MLP,Maple Leaf Pro Wrestling,https://www.cagematch.net/?id=8&nr=98,"MLW, QAC","Maple Leaf Wrestling, Queensbury Athletic Club"
MSW,Mid South Wrestling,https://www.cagematch.net/?id=8&nr=2405,,
Mid-Pacific,Mid-Pacific Promotions,https://www.cagematch.net/?id=8&nr=483,Big Time Wrestling,Big Time Wrestling
NWA Hollywood,National Wrestling Alliance Hollywood Wrestling,https://www.cagematch.net/?id=8&nr=373,"NAWA, WWA","North American Wrestling Association, World Wrestling Alliance"
NWA Mid-America,National Wrestling Alliance Mid-America,https://www.cagematch.net/?id=8&nr=674,"Gulas-Welch Enterprises, Welch Promotions","Gulas-Welch Enterprises Inc., Welch Promotions"
NWF,National Wrestling Federation,https://www.cagematch.net/?id=8&nr=739,,
NJPW,New Japan Pro Wrestling,https://www.cagematch.net/?id=8&nr=7,,
PNW,Pacific Northwest Wrestling,https://www.cagematch.net/?id=8&nr=408,CWUSA,Championship Wrestling USA
SWCW,Southwest Championship Wrestling,https://www.cagematch.net/?id=8&nr=681,TAW,Texas All-Star Wrestling
NWA St. Louis,St. Louis Wrestling Club,https://www.cagematch.net/?id=8&nr=347,,Sam Muchnick Sports Attractions
UWA,Universal Wrestling Association,https://www.cagematch.net/?id=8&nr=68,LLI,Lucha Libre Internacional
WCWA,World Class Wrestling Association,https://www.cagematch.net/?id=8&nr=62,"WCCW, Big Time Wrestling, Southwest Sports","World Class Championship Wrestling, NWA Big Time Wrestling, Southwest Sports"
WWA,World Wrestling Association,https://www.cagematch.net/?id=8&nr=103,,
WWC,World Wrestling Council,https://www.cagematch.net/?id=8&nr=52,,Capitol Sports Promotions
WWE,World Wrestling Entertainment,https://www.cagematch.net/?id=8&nr=1,"WWF, WWWF, NWA Capitol Wrestling, NWA Capital Sports","World Wrestling Federation, World Wide Wrestling Federation, National Wrestling Alliance Capitol Wrestling Federation, National Wrestling Alliance Capital Sports"